session_id,subject_id,trial_index,trial_id,label,label_trial_index,prepare_s,record_s,rest_s,expected_samples
S01_day2,S01,1,001_rest_01,rest,1,0.0,0.2659999999887077,0.0,13
S01_day2,S01,2,002_rest_02,rest,2,0.0,0.14100000000325963,0.0,7
S01_day2,S01,3,003_rest_03,rest,3,0.0,0.125,0.0,7
S01_day2,S01,4,004_rest_04,rest,4,0.0,0.14100000000325963,0.0,7
S01_day2,S01,5,005_rest_05,rest,5,0.0,0.1409999999887077,0.0,7
S01_day2,S01,6,006_rest_06,rest,6,0.0,0.125,0.0,6
S01_day2,S01,7,007_rest_07,rest,7,0.0,0.125,0.0,7
S01_day2,S01,8,008_rest_08,rest,8,0.0,0.15600000000267755,0.0,8
S01_day2,S01,9,009_rest_09,rest,9,0.0,1.1559999999881256,0.0,58
S01_day2,S01,10,010_rest_10,rest,10,0.0,0.13999999999941792,0.0,7
S01_day2,S01,11,011_rest_11,rest,11,0.0,0.125,0.0,6
S01_day2,S01,12,012_rest_12,rest,12,0.0,0.13999999999941792,0.0,8
S01_day2,S01,13,013_rest_13,rest,13,0.0,0.14100000000325963,0.0,7
S01_day2,S01,14,014_rest_14,rest,14,0.0,0.13999999999941792,0.0,7
S01_day2,S01,15,015_rest_15,rest,15,0.0,0.125,0.0,7
S01_day2,S01,16,016_rest_16,rest,16,0.0,0.14100000000325963,0.0,6
S01_day2,S01,17,017_rest_17,rest,17,0.0,0.1409999999887077,0.0,7
S01_day2,S01,18,018_rest_18,rest,18,0.0,0.14100000000325963,0.0,7
S01_day2,S01,19,019_rest_19,rest,19,0.0,0.14100000000325963,0.0,7
S01_day2,S01,20,020_rest_20,rest,20,0.0,0.125,0.0,7
S01_day2,S01,21,021_rest_21,rest,21,0.0,0.125,0.0,7
S01_day2,S01,22,022_rest_22,rest,22,0.0,0.15600000000267755,0.0,8
S01_day2,S01,23,023_rest_23,rest,23,0.0,0.125,0.0,6
S01_day2,S01,24,024_rest_24,rest,24,0.0,0.15600000000267755,0.0,7
S01_day2,S01,25,025_rest_25,rest,25,0.0,0.13999999999941792,0.0,7
S01_day2,S01,26,026_rest_26,rest,26,0.0,0.14100000000325963,0.0,7
S01_day2,S01,27,027_rest_27,rest,27,0.0,0.15599999998812564,0.0,8
S01_day2,S01,28,028_rest_28,rest,28,0.0,0.15600000000267755,0.0,7
S01_day2,S01,29,029_rest_29,rest,29,0.0,0.14100000000325963,0.0,7
S01_day2,S01,30,030_rest_30,rest,30,0.0,0.17199999999138527,0.0,8
S01_day2,S01,31,031_rest_31,rest,31,0.0,0.14100000000325963,0.0,7
S01_day2,S01,32,032_rest_32,rest,32,0.0,0.1870000000053551,0.0,10
S01_day2,S01,33,033_rest_33,rest,33,0.0,0.13999999999941792,0.0,7
S01_day2,S01,34,034_rest_34,rest,34,0.0,0.14100000000325963,0.0,7
S01_day2,S01,35,035_rest_35,rest,35,0.0,0.14100000000325963,0.0,7
S01_day2,S01,36,036_rest_36,rest,36,0.0,0.14100000000325963,0.0,8
S01_day2,S01,37,037_rest_37,rest,37,0.0,0.8600000000005821,0.0,42
S01_day2,S01,38,038_rest_38,rest,38,0.0,0.1409999999887077,0.0,7
S01_day2,S01,39,039_rest_39,rest,39,0.0,0.13999999999941792,0.0,7
S01_day2,S01,40,040_rest_40,rest,40,0.0,0.13999999999941792,0.0,7
S01_day2,S01,41,041_rest_41,rest,41,0.0,0.5780000000086147,0.0,29
S01_day2,S01,42,042_rest_42,rest,42,0.0,0.15699999999196734,0.0,8
S01_day2,S01,43,043_rest_43,rest,43,0.0,0.13999999999941792,0.0,7
S01_day2,S01,44,044_rest_44,rest,44,0.0,0.13999999999941792,0.0,7
S01_day2,S01,45,045_rest_45,rest,45,0.0,0.6399999999994179,0.0,32
S01_day2,S01,46,046_rest_46,rest,46,0.0,0.6100000000005821,0.0,31
S01_day2,S01,47,047_rest_47,rest,47,0.0,0.40600000000267755,0.0,21
S01_day2,S01,48,048_rest_48,rest,48,0.0,0.9539999999979045,0.0,48
S01_day2,S01,49,049_rest_49,rest,49,0.0,0.5939999999973224,0.0,29
S01_day2,S01,50,050_rest_50,rest,50,0.0,0.625,0.0,32
S01_day2,S01,51,051_rest_51,rest,51,0.0,0.6720000000059372,0.0,33
S01_day2,S01,52,052_rest_52,rest,52,0.0,0.625,0.0,32
S01_day2,S01,53,053_rest_53,rest,53,0.0,0.5939999999973224,0.0,30
S01_day2,S01,54,054_rest_54,rest,54,0.0,0.5310000000026776,0.0,26
S01_day2,S01,55,055_rest_55,rest,55,0.0,0.35899999999674037,0.0,19
S01_day2,S01,56,056_rest_56,rest,56,0.0,0.3130000000091968,0.0,16
S01_day2,S01,57,057_rest_57,rest,57,0.0,0.3120000000053551,0.0,16
S01_day2,S01,58,058_rest_58,rest,58,0.0,0.34299999999348074,0.0,17
S01_day2,S01,59,059_rest_59,rest,59,0.0,0.29699999999138527,0.0,16
S01_day2,S01,60,060_rest_60,rest,60,0.0,0.3129999999946449,0.0,16
S01_day2,S01,61,061_rest_61,rest,61,0.0,0.29699999999138527,0.0,15
S01_day2,S01,62,062_rest_62,rest,62,0.0,0.5310000000026776,0.0,26
S01_day2,S01,63,063_rest_63,rest,63,0.0,0.3279999999940628,0.0,16
S01_day2,S01,64,064_rest_64,rest,64,0.0,0.5310000000026776,0.0,26
S01_day2,S01,65,065_rest_65,rest,65,0.0,0.375,0.0,18
S01_day2,S01,66,066_rest_66,rest,66,0.0,0.6560000000026776,0.0,33
S01_day2,S01,67,067_rest_67,rest,67,0.0,0.5929999999934807,0.0,30
S01_day2,S01,68,068_rest_68,rest,68,0.0,0.26600000000325963,0.0,14
S01_day2,S01,69,069_rest_69,rest,69,0.0,0.35899999999674037,0.0,17
S01_day2,S01,70,070_rest_70,rest,70,0.0,0.29699999999138527,0.0,16
S01_day2,S01,71,071_rest_71,rest,71,0.0,0.5629999999946449,0.0,28
S01_day2,S01,72,072_rest_72,rest,72,0.0,0.34399999999732245,0.0,17
S01_day2,S01,73,073_rest_73,rest,73,0.0,0.28100000000267755,0.0,14
